"";"municipality";"municipality_id";"state";"population";"account_type";"account";"amount";"i.municipality";"i.municipality_id";"i.state";"i.population";"i.account_type"
"12";"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018";"1.1.0.0.0.00.00 - Ativo Circulante";63490370,38;"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018"
"13";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa";1202996,98;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"14";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa";1202996,98;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"15";"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018";"1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa";3098028,25;"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018"
"16";"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018";"1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa";63490370,38;"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018"
"17";"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018";"1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa";3098028,25;"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018"
"18";"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018";"1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa";63490370,38;"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018"
"19";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional";1202996,98;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"20";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional";1202996,98;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"21";"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018";"1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional";3098028,25;"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018"
"22";"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018";"1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional";63490370,38;"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018"
"23";"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018";"1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional";3098028,25;"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018"
"24";"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018";"1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional";63490370,38;"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018"
"25";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação";1202996,98;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"26";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação";1202996,98;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"27";"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018";"1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação";3098028,25;"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018"
"28";"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018";"1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação";63490370,38;"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018"
"29";"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018";"1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação";3098028,25;"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018"
"30";"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018";"1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação";63490370,38;"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018"
"31";"Prefeitura Municipal de Pequeri - MG";3149507;"MG";3335;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";14000;"Prefeitura Municipal de Ponte Alta do Bom Jesus - TO";1717800;"TO";4647;"31/12/2018"
"32";"Prefeitura Municipal de Bom Sucesso - PB";2502300;"PB";4989;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";20000;"Prefeitura Municipal de Arari - MA";2101004;"MA";29297;"31/12/2018"
"33";"Prefeitura Municipal de Lago da Pedra - MA";2105708;"MA";49440;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";1e+06;"Prefeitura Municipal de Coelho Neto - MA";2103406;"MA";48546;"31/12/2018"
"34";"Prefeitura Municipal de Coelho Neto - MA";2103406;"MA";48546;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";1e+06;"Prefeitura Municipal de Lago da Pedra - MA";2105708;"MA";49440;"31/12/2018"
"35";"Prefeitura Municipal de Porteiras - CE";2311108;"CE";14965;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";2;"Prefeitura Municipal de Novo Santo Antônio - PI";2206951;"PI";2930;"31/12/2018"
"36";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";72031,59;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"37";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";72031,59;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"38";"Prefeitura Municipal de Novo Santo Antônio - PI";2206951;"PI";2930;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";2;"Prefeitura Municipal de Porteiras - CE";2311108;"CE";14965;"31/12/2018"
"39";"Prefeitura Municipal de Itaú - RN";2404903;"RN";5930;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";256114,52;"Prefeitura Municipal de Encanto - RN";2403301;"RN";5666;"31/12/2018"
"40";"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";531534,89;"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018"
"41";"Prefeitura Municipal de Encanto - RN";2403301;"RN";5666;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";256114,52;"Prefeitura Municipal de Itaú - RN";2404903;"RN";5930;"31/12/2018"
"42";"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";531534,89;"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018"
"43";"Prefeitura Municipal de Arari - MA";2101004;"MA";29297;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";20000;"Prefeitura Municipal de Bom Sucesso - PB";2502300;"PB";4989;"31/12/2018"
"44";"Prefeitura Municipal de Boa Vista do Tupim - BA";2903805;"BA";19516;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";1e+05;"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018"
"45";"Prefeitura Municipal de Mata de São João - BA";2921005;"BA";46392;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";13125;"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018"
"46";"Prefeitura Municipal de Carnaíba - PE";2603900;"PE";19380;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";1e+05;"Prefeitura Municipal de Boa Vista do Tupim - BA";2903805;"BA";19516;"31/12/2018"
"47";"Prefeitura Municipal de Jussari - BA";2918555;"BA";6275;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";10000;"Prefeitura Municipal de Guajeru - BA";2911659;"BA";8322;"31/12/2018"
"48";"Prefeitura Municipal de Guajeru - BA";2911659;"BA";8322;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";10000;"Prefeitura Municipal de Jussari - BA";2918555;"BA";6275;"31/12/2018"
"49";"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";13125;"Prefeitura Municipal de Mata de São João - BA";2921005;"BA";46392;"31/12/2018"
"50";"Prefeitura Municipal de Maximiliano de Almeida - RS";4312203;"RS";4834;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";34000;"Prefeitura Municipal de Retirolândia - BA";2926103;"BA";14627;"31/12/2018"
"51";"Prefeitura Municipal de Ponte Alta do Bom Jesus - TO";1717800;"TO";4647;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";14000;"Prefeitura Municipal de Pequeri - MG";3149507;"MG";3335;"31/12/2018"
"52";"Prefeitura Municipal de Retirolândia - BA";2926103;"BA";14627;"31/12/2018";"1.1.2.0.0.00.00 - Créditos a Curto Prazo";34000;"Prefeitura Municipal de Maximiliano de Almeida - RS";4312203;"RS";4834;"31/12/2018"
"53";"Prefeitura Municipal de Guairaçá - PR";4108908;"PR";6562;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";1360;"Prefeitura Municipal de Mucajaí - RR";1400308;"RR";16618;"31/12/2018"
"54";"Prefeitura Municipal de Bom Sucesso - PB";2502300;"PB";4989;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";20000;"Prefeitura Municipal de Arari - MA";2101004;"MA";29297;"31/12/2018"
"55";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";72031,59;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"56";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";72031,59;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"57";"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";531534,89;"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018"
"58";"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";531534,89;"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018"
"59";"Prefeitura Municipal de Arari - MA";2101004;"MA";29297;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";20000;"Prefeitura Municipal de Bom Sucesso - PB";2502300;"PB";4989;"31/12/2018"
"60";"Prefeitura Municipal de Jussiape - BA";2918605;"BA";7239;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";213,34;"Prefeitura Municipal de Belo Campo - BA";2903508;"BA";18312;"31/12/2018"
"61";"Prefeitura Municipal de Tremedal - BA";2931806;"BA";17854;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";213,34;"Prefeitura Municipal de Belo Campo - BA";2903508;"BA";18312;"31/12/2018"
"62";"Prefeitura Municipal de Belo Campo - BA";2903508;"BA";18312;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";213,34;"Prefeitura Municipal de Jussiape - BA";2918605;"BA";7239;"31/12/2018"
"63";"Prefeitura Municipal de Tremedal - BA";2931806;"BA";17854;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";213,34;"Prefeitura Municipal de Jussiape - BA";2918605;"BA";7239;"31/12/2018"
"64";"Prefeitura Municipal de Belo Campo - BA";2903508;"BA";18312;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";213,34;"Prefeitura Municipal de Tremedal - BA";2931806;"BA";17854;"31/12/2018"
"65";"Prefeitura Municipal de Jussiape - BA";2918605;"BA";7239;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";213,34;"Prefeitura Municipal de Tremedal - BA";2931806;"BA";17854;"31/12/2018"
"66";"Prefeitura Municipal de Mucajaí - RR";1400308;"RR";16618;"31/12/2018";"1.1.2.1.0.00.00 - Créditos Tributários a Receber";1360;"Prefeitura Municipal de Guairaçá - PR";4108908;"PR";6562;"31/12/2018"
"67";"Prefeitura Municipal de Guairaçá - PR";4108908;"PR";6562;"31/12/2018";"1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação";1360;"Prefeitura Municipal de Mucajaí - RR";1400308;"RR";16618;"31/12/2018"
"68";"Prefeitura Municipal de Bom Sucesso - PB";2502300;"PB";4989;"31/12/2018";"1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação";20000;"Prefeitura Municipal de Arari - MA";2101004;"MA";29297;"31/12/2018"
"69";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação";72031,59;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"70";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação";72031,59;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"71";"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018";"1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação";531534,89;"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018"
"72";"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018";"1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação";531534,89;"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018"
"73";"Prefeitura Municipal de Arari - MA";2101004;"MA";29297;"31/12/2018";"1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação";20000;"Prefeitura Municipal de Bom Sucesso - PB";2502300;"PB";4989;"31/12/2018"
"74";"Prefeitura Municipal de Mucajaí - RR";1400308;"RR";16618;"31/12/2018";"1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação";1360;"Prefeitura Municipal de Guairaçá - PR";4108908;"PR";6562;"31/12/2018"
"75";"Prefeitura Municipal de Piracema - MG";3150604;"MG";6566;"31/12/2018";"1.1.2.1.2.00.00 - Créditos Tributários a Receber - Intra OFSS";24;"Prefeitura Municipal de Santa Maria da Vitória - BA";2928109;"BA";41782;"31/12/2018"
"76";"Prefeitura Municipal de Santa Maria da Vitória - BA";2928109;"BA";41782;"31/12/2018";"1.1.2.1.2.00.00 - Créditos Tributários a Receber - Intra OFSS";24;"Prefeitura Municipal de Piracema - MG";3150604;"MG";6566;"31/12/2018"
"77";"Prefeitura Municipal de Várzea Nova - BA";2933158;"BA";13500;"31/12/2018";"1.1.2.1.3.00.00 - Créditos Tributários a Receber - Inter OFSS - União";6000;"Prefeitura Municipal de Barro Alto - BA";2903235;"BA";15093;"31/12/2018"
"78";"Prefeitura Municipal de Tremedal - BA";2931806;"BA";17854;"31/12/2018";"1.1.2.1.3.00.00 - Créditos Tributários a Receber - Inter OFSS - União";213,34;"Prefeitura Municipal de Jussiape - BA";2918605;"BA";7239;"31/12/2018"
"79";"Prefeitura Municipal de Jussiape - BA";2918605;"BA";7239;"31/12/2018";"1.1.2.1.3.00.00 - Créditos Tributários a Receber - Inter OFSS - União";213,34;"Prefeitura Municipal de Tremedal - BA";2931806;"BA";17854;"31/12/2018"
"80";"Prefeitura Municipal de Barro Alto - BA";2903235;"BA";15093;"31/12/2018";"1.1.2.1.3.00.00 - Créditos Tributários a Receber - Inter OFSS - União";6000;"Prefeitura Municipal de Várzea Nova - BA";2933158;"BA";13500;"31/12/2018"
"81";"Prefeitura Municipal de Itaú - RN";2404903;"RN";5930;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";256114,52;"Prefeitura Municipal de Encanto - RN";2403301;"RN";5666;"31/12/2018"
"82";"Prefeitura Municipal de Encanto - RN";2403301;"RN";5666;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";256114,52;"Prefeitura Municipal de Itaú - RN";2404903;"RN";5930;"31/12/2018"
"83";"Prefeitura Municipal de Moreno - PE";2609402;"PE";61577;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";13125;"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018"
"84";"Prefeitura Municipal de Mata de São João - BA";2921005;"BA";46392;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";13125;"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018"
"85";"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";13125;"Prefeitura Municipal de Moreno - PE";2609402;"PE";61577;"31/12/2018"
"86";"Prefeitura Municipal de Mata de São João - BA";2921005;"BA";46392;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";13125;"Prefeitura Municipal de Moreno - PE";2609402;"PE";61577;"31/12/2018"
"87";"Prefeitura Municipal de Novo Triunfo - BA";2923050;"BA";16016;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";27000;"Prefeitura Municipal de Cairu - BA";2905404;"BA";17985;"31/12/2018"
"88";"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";13125;"Prefeitura Municipal de Mata de São João - BA";2921005;"BA";46392;"31/12/2018"
"89";"Prefeitura Municipal de Moreno - PE";2609402;"PE";61577;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";13125;"Prefeitura Municipal de Mata de São João - BA";2921005;"BA";46392;"31/12/2018"
"90";"Prefeitura Municipal de Cairu - BA";2905404;"BA";17985;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";27000;"Prefeitura Municipal de Novo Triunfo - BA";2923050;"BA";16016;"31/12/2018"
"91";"Prefeitura Municipal de Verdelândia - MG";3171030;"MG";9140;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";4799222,49;"Prefeitura Municipal de Claro dos Poções - MG";3116506;"MG";7819;"31/12/2018"
"92";"Prefeitura Municipal de Claro dos Poções - MG";3116506;"MG";7819;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";4799222,49;"Prefeitura Municipal de Verdelândia - MG";3171030;"MG";9140;"31/12/2018"
"93";"Prefeitura Municipal de Coqueiro Baixo - RS";4305835;"RS";1560;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";243750;"Prefeitura Municipal de Canudos do Vale - RS";4304614;"RS";1817;"31/12/2018"
"94";"Prefeitura Municipal de Canudos do Vale - RS";4304614;"RS";1817;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";243750;"Prefeitura Municipal de Coqueiro Baixo - RS";4305835;"RS";1560;"31/12/2018"
"95";"Prefeitura Municipal de São Jorge - RS";4318440;"RS";2844;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";121875;"Prefeitura Municipal de Restinga Sêca - RS";4315503;"RS";16324;"31/12/2018"
"96";"Prefeitura Municipal de Restinga Sêca - RS";4315503;"RS";16324;"31/12/2018";"1.1.2.3.0.00.00 - Créditos de Transferências a Receber";121875;"Prefeitura Municipal de São Jorge - RS";4318440;"RS";2844;"31/12/2018"
"97";"Prefeitura Municipal de Moreno - PE";2609402;"PE";61577;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";13125;"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018"
"98";"Prefeitura Municipal de Abaré - BA";2900207;"BA";19939;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";13125;"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018"
"99";"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";13125;"Prefeitura Municipal de Moreno - PE";2609402;"PE";61577;"31/12/2018"
"100";"Prefeitura Municipal de Abaré - BA";2900207;"BA";19939;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";13125;"Prefeitura Municipal de Moreno - PE";2609402;"PE";61577;"31/12/2018"
"101";"Prefeitura Municipal de Casinhas - PE";2604155;"PE";14247;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";13125;"Prefeitura Municipal de Abaré - BA";2900207;"BA";19939;"31/12/2018"
"102";"Prefeitura Municipal de Moreno - PE";2609402;"PE";61577;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";13125;"Prefeitura Municipal de Abaré - BA";2900207;"BA";19939;"31/12/2018"
"103";"Prefeitura Municipal de Itacambira - MG";3132008;"MG";5343;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";1279507,16;"Prefeitura Municipal de Claro dos Poções - MG";3116506;"MG";7819;"31/12/2018"
"104";"Prefeitura Municipal de Verdelândia - MG";3171030;"MG";9140;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";1279507,16;"Prefeitura Municipal de Claro dos Poções - MG";3116506;"MG";7819;"31/12/2018"
"105";"Prefeitura Municipal de Claro dos Poções - MG";3116506;"MG";7819;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";1279507,16;"Prefeitura Municipal de Itacambira - MG";3132008;"MG";5343;"31/12/2018"
"106";"Prefeitura Municipal de Verdelândia - MG";3171030;"MG";9140;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";1279507,16;"Prefeitura Municipal de Itacambira - MG";3132008;"MG";5343;"31/12/2018"
"107";"Prefeitura Municipal de Claro dos Poções - MG";3116506;"MG";7819;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";1279507,16;"Prefeitura Municipal de Verdelândia - MG";3171030;"MG";9140;"31/12/2018"
"108";"Prefeitura Municipal de Itacambira - MG";3132008;"MG";5343;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";1279507,16;"Prefeitura Municipal de Verdelândia - MG";3171030;"MG";9140;"31/12/2018"
"109";"Prefeitura Municipal de Coqueiro Baixo - RS";4305835;"RS";1560;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";243750;"Prefeitura Municipal de Canudos do Vale - RS";4304614;"RS";1817;"31/12/2018"
"110";"Prefeitura Municipal de Canudos do Vale - RS";4304614;"RS";1817;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";243750;"Prefeitura Municipal de Coqueiro Baixo - RS";4305835;"RS";1560;"31/12/2018"
"111";"Prefeitura Municipal de União da Serra - RS";4322350;"RS";1374;"31/12/2018";"1.1.2.3.3.00.00 - Créditos de Transferências a Receber - Inter OFSS - União";250000;"Prefeitura Municipal de Coronel Barros - RS";4305871;"RS";2556;"31/12/2018"
